Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9903353891881281,0.988477649345756,0.10462110803566532,0.9992967078682184,0.078709921781569,0.004606921912108716,0.004614136809457745,0.005780797441656382,1.0,6.0,0.0,0.0,0.0002157619418259015,1.0585572719573975,0.044984326689694466,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.99094372913291,0.9894956110884219,0.09456967269432048,0.999994587785002,0.007536752822052463,0.0012787367366439725,0.001444432745449242,0.0019465486055365577,1.0,6.0,0.0,0.0,4.2915347489877e-05,10.937904834747314,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9898852570278673,0.9887421762542333,0.10410368805163425,0.9993293748856257,0.08790242809603538,0.011139450935348436,0.008752946954270717,0.008022143001435555,0.75,6.0,2.0,0.0,8.095376221225099e-17,1.1793594360351562,0.010985411419875584,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9909435661810351,0.9894845909927381,0.09464863067930737,0.9999919895193223,0.009281132288500598,0.0012736819902994297,0.0013004893223418819,0.001611649902328427,1.0,6.0,0.0,0.0,0.0,9.651998281478882,,,6.0,0.0001
SR3,10.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.962630476458685,0.9534725499444474,0.4315293076705619,0.9965734854614954,0.1695936118257828,0.005505309670718042,0.004238091976885038,0.003803557238895472,1.0,6.0,0.0,0.0,0.0005154489528613934,1.0536043643951416,0.09102981779915217,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9646451062718939,0.9594411983565152,0.37802214307462767,0.9999595413577831,0.019872648578379577,0.00171844538524433,0.00161415031792769,0.001783732964832474,1.0,6.0,0.0,0.0,5.53355312789249e-05,10.072669506072998,,,6.0,0.0001
Con-SR3,10.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9599198834761237,0.9558066989687264,0.42317801422866397,0.9966350784350964,0.1968466822487001,0.021309086427380997,0.017533486147335242,0.018180457300535906,0.75,6.0,2.0,0.0,2.544261098099317e-17,1.3179206848144531,0.022229964825261943,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9646448390876236,0.9593988257584691,0.37833177835352405,0.9999497531714082,0.02262308877477029,0.001428267571236926,0.0012498714796189666,0.0013442881219236646,1.0,6.0,0.0,0.0,0.0,9.880971908569336,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9149335460396855,0.8711695330065117,1.184784987846434,0.9737802296887834,0.4258270787221325,0.09279982617909498,0.07290840836854241,0.06877617032366452,0.6666666666666666,6.0,3.0,0.0,0.019511712721608898,1.085209846496582,0.03906939937054617,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9235502636875011,0.9134565489297648,0.8501049455898031,0.999809724151841,0.04315851826120445,0.0038835456819533852,0.0043910561764387845,0.006097918191150575,1.0,6.0,0.0,0.0,3.98453532330136e-05,11.627111434936523,,,6.0,0.0001
Con-SR3,10.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9121267757738544,0.904021911074787,0.9676608116028124,0.9907286160401382,0.32573252291758226,0.03019912632663265,0.02763292719216989,0.03299019394324041,0.75,6.0,2.0,0.0,2.7755575615628914e-17,1.2692203521728516,0.03393221771895328,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9235501274799929,0.9133989793970084,0.8505499030432063,0.9998051904959022,0.044958158293297974,0.0039531746324453,0.0042629229529318495,0.005860467051176599,1.0,6.0,0.0,0.0,0.0,10.229021787643433,,,6.0,0.0001
SR3,10.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8541697007396738,0.7732416497723927,2.217239525242508,0.9448874759696857,0.6185326271868948,0.13961703404238163,0.1065759176221698,0.0886254933194423,0.6666666666666666,6.0,3.0,0.0,0.02749844742000557,1.049438238143921,0.05963623316594643,0.03333333333333333,,
MIOSR,10.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8711417066179479,0.8561881764416635,1.5106090958901195,0.9993967662726384,0.07748715785562661,0.010179406782433852,0.010320139269290185,0.013517550151785573,1.0,6.0,0.0,0.0,2.0509550681414392e-06,12.535601615905762,,,6.0,0.0001
Con-SR3,10.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8498930028080608,0.8373108392449684,1.7506894758345601,0.9801120378852399,0.47371555938710685,0.031158072678349042,0.03665081647038421,0.05135558548868609,0.8571428571428571,6.0,1.0,0.0,3.700743415417188e-17,1.3012316226959229,0.0517947467923121,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8711417062646736,0.8561836775613583,1.510646715793782,0.9994407220600847,0.07729971120276466,0.010182882228307466,0.010316404731841677,0.013505127855531374,1.0,6.0,0.0,0.0,0.0,10.232062101364136,,,6.0,0.0001
SR3,10.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7895641378677591,0.5104918992560763,4.966509379020566,0.8698659734640154,0.8846107005467372,0.21183958378962284,0.14707488313373027,0.1316914113251766,0.6,6.0,4.0,0.0,0.048629580719757225,1.043367862701416,0.06866488450043001,0.03333333333333333,,
MIOSR,10.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8112600051740249,0.7922804957508598,2.3591701368564006,0.998530537400913,0.12188734960212055,0.018865447070409037,0.01874677543421096,0.02354600009950425,1.0,6.0,0.0,0.0,5.107515799725182e-05,12.4194815158844,,,6.0,0.0001
Con-SR3,10.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7781379403076335,0.7612712402412958,2.7697736600391525,0.9641480450136688,0.6327843908732538,0.04985728724938739,0.052533895932265144,0.07251879408272133,0.8571428571428571,6.0,1.0,0.0,1.61907524424502e-17,1.2984004020690918,0.05963623316594643,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.05000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.811259791335704,0.7924297669590656,2.3577983318712024,0.9986981753210931,0.11932493082460012,0.018782120054061168,0.018813936027812124,0.023861793535805642,1.0,6.0,0.0,0.0,0.0,10.543928384780884,,,6.0,0.0001
SR3,10.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7135277944708561,0.031326743287969805,10.514753319310685,0.5865877473757044,1.5084757218760982,0.29317336539534206,0.19004131960918924,0.17707400068150358,0.5454545454545454,6.0,5.0,0.0,0.08971180650058223,1.0766501426696777,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7475209861600887,0.725701817582148,3.3950811803590852,0.9970023840004915,0.17527737950631528,0.029821550702825696,0.02947079288132112,0.03607968140726181,1.0,6.0,0.0,0.0,0.00011196126116023997,11.75941514968872,,,6.0,0.0001
Con-SR3,10.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7013259737843371,0.680405474215794,4.027895144902027,0.9420494554973511,0.8007487749671665,0.07342798244443867,0.07153182981750776,0.0961620510324018,0.8571428571428571,6.0,1.0,0.0,4.625929269271486e-17,1.316584825515747,0.07906043210907697,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.06000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.7475199855839101,0.7261013408132797,3.3910034803380507,0.997390127966699,0.1704339134628191,0.029646968656940866,0.029593559684994716,0.03678904419645668,1.0,6.0,0.0,0.0,0.0,10.492528200149536,,,6.0,0.0001
SR3,10.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6367059120105452,-0.23763574780028995,14.913348253999045,0.4070365837052229,1.8089549489182892,0.35675341881545397,0.23030223058007018,0.22243831314102122,0.5454545454545454,6.0,5.0,0.0,0.1064784762918417,1.0353741645812988,0.044984326689694466,0.03333333333333333,,
MIOSR,10.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6829486470461149,0.6594765106984803,4.617171842238697,0.994605719302362,0.2365605846713768,0.04290823502269035,0.04234175250655085,0.05099226766359777,1.0,6.0,0.0,0.0,0.00017320064596910759,11.530313968658447,,,6.0,0.0001
Con-SR3,10.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6741709395024345,0.46057173810771834,7.864848967958841,0.8591582110953044,1.1882476778700382,0.11973749245434238,0.09850076882454241,0.12312645074174478,0.75,6.0,2.0,0.0,1.780982768669522e-16,1.3601174354553223,0.0517947467923121,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6829463183576229,0.6601859286216896,4.609078551162367,0.9953126345513263,0.2299196831428889,0.04265202239178084,0.04251583348404448,0.05212039136488811,1.0,6.0,0.0,0.0,0.0,10.361605644226074,,,6.0,0.0001
