Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,1.0,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7547707019265542,0.14418543915952398,0.01975976412764673,-3.31085344782374,0.5270796068330792,1.6886600705923847,1.2640419956093203,1.1619534646936456,0.07692307692307693,1.0,5.0,7.0,1.8682942390441895,0.18420699693267165,0.05,,
E-STLSQ,1.0,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.09389675149411475,0.013313381902041455,0.022783486123818503,-2.818767232698657,0.5052469008783345,1.3733900321014085,1.1093199684114616,1.0,0.15384615384615385,2.0,5.0,6.0,9.055588006973267,0.18420699693267165,0.05,,
SR3,1.0,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7583583426364733,-8306132.070016118,191440.73333795514,-233990392704677.25,3774199.6693919823,39401434.92708628,28335318.09099471,38707912.73144601,0.19047619047619047,8.0,34.0,0.0,1.2884342670440674,0.00031622776601683794,,0.03333333333333333,
SSR,1.0,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7548619288753284,0.1471382956132612,0.019705972385234777,-2.997029955733299,0.5156929298854662,1.5227919544837636,1.171241289766701,1.0,0.07692307692307693,1,5,7,0.30063414573669434,,"(0.2, 0.01)",,
MIOSR,1.0,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7547669199243227,0.1556645017645586,0.019500893879569353,-0.3033139157590748,0.296824608338079,1.82836847388543,1.709125181720418,2.968701175983298,0.07692307692307693,1,5,7,80.59013772010803,,"(0, 0.2)",,"(3, 3)"
STLSQ,1.2866648980094317,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7833679552573092,-1.0071573413020587,0.043267181415698915,-3.8646921968156027,0.5742529581535567,1.9313004979579913,1.473679665879488,1.9814350537714067,0.21428571428571427,3.0,6.0,5.0,1.93660306930542,0.18420699693267165,0.2,,
E-STLSQ,1.2866648980094317,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7464944831625961,-0.45194931041703856,0.02978856975828601,-3.2283302996558616,0.5363885945872298,1.6370019937246585,1.2729816578919555,1.2241351728217704,0.15384615384615385,2.0,5.0,6.0,9.661928415298462,0.18420699693267165,0.2,,
SR3,1.2866648980094317,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7934245537182478,-24655537.37607915,479874.28799278726,-3442768265560.9326,465429.2795836736,5233719.090753116,3785210.2258709758,4403842.319921342,0.19047619047619047,8.0,34.0,0.0,1.3594374656677246,0.00031622776601683794,,0.03333333333333333,
SSR,1.2866648980094317,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7836809720747897,0.09153686785797388,0.017870811054486953,-2.9250501670900357,0.507465219751511,1.412949371412452,1.0713959741613663,1.0,0.14285714285714285,2,6,6,0.3072535991668701,,"(0.05, 0.2)",,
MIOSR,1.2866648980094317,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7786998115475048,0.16063526803132294,0.016169489930983497,-0.24857701376380556,0.29197176345663967,2.0541119260432357,2.3415039527365455,4.9183252246350815,0.09090909090909091,1,3,7,83.18483686447144,,"(0, 0)",,"(2, 2)"
