Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.25,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",-8.852573148210828,-10.74738451146699,587.999789173015,-0.00023165527847258298,64.23225666740883,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.554594039916992,1.3894954943731375,0.05,,
E-STLSQ,0.25,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",-8.852573148210828,-10.74738451146699,587.999789173015,-0.00023165527847258298,64.23225666740883,1.0,1.0,1.0,0.0,0.0,0.0,7.0,19.5272319316864,0.517947467923121,0.05,,
SR3,0.25,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9495894844121134,-715503832376.0391,13764887540011.56,-6.282303299025442e+18,109574302353.63766,6446328.285132462,3009364.147553167,1717015.7357139164,0.04516129032258064,7.0,148.0,0.0,27.385642051696777,17.992936232915515,,0.1,
SSR,0.25,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.41716501901313174,0.1282032117996826,33.92509807679094,-25.37031553859001,336.1728082900565,1.2559695526034869,1.0667626401185628,1.0,0.1111111111111111,1,2,6,0.9818711280822754,,"(0.0, 0.0, 0.2)",,
MIOSR,0.25,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.8588509561881819,-3.158629834814081,313.42427299041924,-7382993.2047895165,177664.28579582903,0.9615829761214681,0.9965000509342297,1.0,0.07692307692307693,1,6,6,1581.4054636955261,,"(0, 0.01, 0)",,"(1, 4, 2)"
STLSQ,0.3513325357035531,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",-4.878397043352563,-5.296181782962788,2901.4554028429498,-0.00023165527847258298,64.23225666740883,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.7009081840515137,0.7906043210907697,0.2,,
E-STLSQ,0.3513325357035531,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",-4.878397043352563,-5.296181782962788,2901.4554028429498,-0.00023165527847258298,64.23225666740883,1.0,1.0,1.0,0.0,0.0,0.0,7.0,19.24061942100525,0.3906939937054617,0.2,,
SR3,0.3513325357035531,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9412533984511278,-208645494755.54898,108942527512713.56,-143609562907142.9,742580119.7511982,210726.54215753722,88414.27260593034,46281.44612428313,0.0472972972972973,7.0,141.0,0.0,28.839572429656982,31.622776601683793,,0.03333333333333333,
SSR,0.3513325357035531,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.842378769215081,0.8079815999517329,106.74972628511637,-1.7864132182431418,121.2347509103807,1.8947278455109307,2.0968838520622795,2.189769465288885,0.3333333333333333,3,2,4,0.9934077262878418,,"(0.0, 0.05, 0.0)",,
MIOSR,0.3513325357035531,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9076642054527267,0.9178195188203809,25.20602406954946,-6.667231708073698,118.52341143201969,0.4000711404105141,0.4015005579395087,0.35714285714285715,0.625,5,1,2,1629.0115015506744,,"(1e-05, 0.01, 0.2)",,"(2, 2, 2)"
STLSQ,0.4937382025755537,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.3945341430299651,0.238401834592635,8591.326297958343,-0.7103285324202193,98.56542399239002,2.050085939428696,2.1767558500971576,2.164416517469482,0.2222222222222222,2.0,2.0,5.0,4.47769021987915,8.68511373751352,1e-05,,
E-STLSQ,0.4937382025755537,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.3937316927622927,0.2350261923340585,8624.859080846238,-0.7234774130174304,98.96686248781644,2.058190935889792,2.1827991724923024,2.171079921261387,0.2222222222222222,2.0,2.0,5.0,34.03056812286377,4.941713361323833,1e-05,,
SR3,0.4937382025755537,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9764357100480004,-209922125897.5652,2494565734046119.5,-85526722997.61478,18272776.056318544,5254.827283477662,2228.097561343918,1298.117703658231,0.05185185185185185,7.0,128.0,0.0,30.33193826675415,31.622776601683793,,0.03333333333333333,
SSR,0.4937382025755537,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9684004599374024,0.8428066562658465,1495.292162454097,0.9291239369878579,20.89112541733774,0.10024285951701621,0.06843731826770195,0.054680676583977184,0.5,6,5,1,1.0338280200958252,,"(1e-05, 0.0, 0.001)",,
MIOSR,0.4937382025755537,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9137630341194208,0.6547051801342308,1437.7166830174647,0.6197159199058118,26.66017685219041,0.3582883543684453,0.3693200916303608,0.35714285714285715,0.5555555555555556,5,2,2,1327.6883778572083,,"(0, 0.001, 0.05)",,"(2, 3, 2)"
STLSQ,0.6938651787383354,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9945482748550615,0.9879137645844284,12.563096586824896,0.9999121211079922,0.6270037228921936,0.013582427594166429,0.016098473556238845,0.016540015408881534,1.0,7.0,0.0,0.0,4.6166346073150635,0.14563484775012436,0.05,,
E-STLSQ,0.6938651787383354,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9944660331681692,0.983957026965394,22.697787832653365,0.9989261184432777,2.1335648028311356,0.06921427630481662,0.08444444241275344,0.08795364500483364,0.8571428571428571,6.0,0.0,1.0,26.21282172203064,0.14563484775012436,0.05,,
SR3,0.6938651787383354,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9948100916475343,-11.559144303840242,18058.41559122582,-437.6746824429898,1440.3732548547,14.78000188608695,7.489982595728721,4.708741477476715,0.11475409836065574,7.0,54.0,0.0,32.03677773475647,20.716983998953076,,0.3333333333333333,
SSR,0.6938651787383354,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9945482748546138,0.9879137665284664,12.563095547897555,0.9999121235719073,0.6269914768518994,0.013582321060454886,0.01609847334598576,0.01654001540872699,1.0,7,0,0,1.0643539428710938,,"(0.0, 0.0, 0.2)",,
MIOSR,0.6938651787383354,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9945501614220248,0.9875976772072644,13.389408842793486,0.9994937979028966,1.4721161250878625,0.01559716114516071,0.018215114179852502,0.017754713474971977,0.875,7,1,0,1575.5604259967804,,"(0, 0.2, 0)",,"(2, 4, 2)"
STLSQ,0.9751096507301539,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9968373490630628,0.9949247357533554,14.47443189791222,0.9999524816184031,0.46709915169687843,0.0006355596247565848,0.0005727497463946231,0.0005226786492573053,1.0,7.0,0.0,0.0,4.256453990936279,0.054286754393238594,0.2,,
E-STLSQ,0.9751096507301539,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9968334651509033,0.9949316819691781,14.45177866894723,0.9999542734921523,0.4631523390186788,0.005686016407014024,0.006408965769648481,0.006723583742432078,1.0,7.0,0.0,0.0,24.281667709350586,0.14563484775012436,0.2,,
SR3,0.9751096507301539,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9968466204424522,0.04297514127092036,2984.6888260228566,0.7255403451930096,31.95747086865681,0.8348125793127572,0.6192917708782504,0.5732333571891395,0.17142857142857143,6.0,28.0,1.0,34.94438076019287,27.464741148160503,,0.3333333333333333,
SSR,0.9751096507301539,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9968373395692206,0.9949249714290557,14.473590498136518,0.999953007314514,0.46484681813683826,0.0009199295283251554,0.0009181179725466284,0.0009124374924396962,1.0,7,0,0,1.1115915775299072,,"(0.2, 0.2, 0.2)",,
MIOSR,0.9751096507301539,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9968373490630628,0.9949247357533554,14.47443189791222,0.9999524816184031,0.46709915169687843,0.0006355596247565848,0.0005727497463946231,0.0005226786492573053,1.0,7,0,0,1655.778790473938,,"(0, 0, 0)",,"(2, 3, 2)"
STLSQ,1.370350984720124,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9971123845956972,0.9915460710428304,12.527663102865935,0.9999486554986342,0.4799337787444061,0.000892009132419776,0.0008555763968223964,0.0008302698349809441,1.0,7.0,0.0,0.0,3.928321361541748,0.023299518105153717,1e-05,,
E-STLSQ,1.370350984720124,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9971106405228336,0.9915543727090116,12.51064192323941,0.9999430221928239,0.5011039740985243,0.0006328723606984987,0.0005980110956935778,0.0005942320539701182,1.0,7.0,0.0,0.0,28.071724891662598,0.08286427728546843,1e-05,,
SR3,1.370350984720124,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9971314010059148,0.9882711422382986,15.871911566577914,0.9988880111551804,1.7177042131601135,0.08870888113266318,0.057407938041456656,0.0405473819787051,0.22580645161290322,7.0,24.0,0.0,38.564072132110596,10.237739663395848,,0.03333333333333333,
SSR,1.370350984720124,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9971123845956972,0.9915460710428304,12.527663102865871,0.9999486554986342,0.4799337787445417,0.000892009132438014,0.0008555763968451434,0.0008302698350098733,1.0,7,0,0,1.1907012462615967,,"(0.0, 0.0, 0.0)",,
MIOSR,1.370350984720124,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9971123845956972,0.9915460710428304,12.527663102865935,0.9999486554986342,0.4799337787444061,0.000892009132419776,0.0008555763968223964,0.0008302698349809441,1.0,7,0,0,1503.5145597457886,,"(0, 0, 0)",,"(2, 3, 2)"
STLSQ,1.9257955450623283,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9964758635358315,0.9977245801644111,12.03668249639869,0.9999528840724505,0.4651275851419315,0.0007623773534367172,0.0008368279090564197,0.0008734725919066528,1.0,7.0,0.0,0.0,4.110705852508545,0.020235896477251575,0.0,,
E-STLSQ,1.9257955450623283,0.002,0.002,30,"(1.44143536068335, -1.1925151036488346, 29.89143716007006)",0.9964757291139325,0.9977245467111242,12.037153712528458,0.9999531496938235,0.4657745861063126,0.0009799597336284946,0.0011336793681295332,0.0011952909687064559,1.0,7.0,0.0,0.0,28.815317630767822,0.030888435964774818,0.0,,
