Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.5,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9180024832428173,-1.3455402527605427,1.7687490141546214,-305.0506301125255,25.585147592406003,5.667268440860497,5.092968291646221,6.459175570204884,0.1111111111111111,4.0,24.0,8.0,7.015442371368408,0.6105402296585326,0.01,,
E-STLSQ,0.5,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-2.106427540965438,-3.7484694434520573,2.3516073067007657,-0.11500735912360187,4.363771346314606,1.0434036153014388,0.9304520253858911,1.0,0.16666666666666666,3.0,6.0,9.0,35.89527869224548,0.7029732115325472,0.01,,
SR3,0.5,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9796655753903646,-68825922419.92203,17269045144.873966,-1341348920724.9446,2898842.2066182224,1404114.98741468,399195.4739942509,276906.461755569,0.02385685884691849,12.0,491.0,0.0,23.8340961933136,1.0985411419875584,,0.03333333333333333,
SSR,0.5,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9157029755913019,0.4447567805121498,0.4400915521547129,-0.13109212121114205,1.9321205040631146,0.5020354241434865,0.5385931184695268,0.7777777777777778,0.4444444444444444,8,6,4,2.359902858734131,,"(0.05, 0.001, 0.2, 0.2, 0.01, 0.05)",,
MIOSR,0.5,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9694956398159627,0.9147541835109414,0.032480141584278616,0.7604366610567761,0.5303248138189086,0.08959792773264752,0.18660454698342507,0.3333333333333333,0.8461538461538461,11,1,1,2940.1692888736725,,"(0, 0, 0.2, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,0.6851754923600619,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-1.2188852403862172,-1.5226028350881222,12.849302478034422,-2.2870128220805213,5.787830703097224,1.4779893935288195,1.277300595168924,1.4451798228472978,0.16666666666666666,3.0,6.0,9.0,6.665973901748657,0.8094001216083124,0.05,,
E-STLSQ,0.6851754923600619,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-1.2590850297313232,-1.4505365324806008,9.935874759699182,-0.3067470070124726,4.53102612049722,1.2156556197360866,1.012887571706181,1.0,0.15,3.0,8.0,9.0,37.18341016769409,0.6105402296585326,0.05,,
SR3,0.6851754923600619,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9766148513430505,-60741242117.24923,54972247999.67926,-21105838734.158306,212138.97714493406,122594.86216801759,42266.36565317629,33949.13345370227,0.02494802494802495,12.0,469.0,0.0,26.718773365020752,100.0,,0.03333333333333333,
SSR,0.6851754923600619,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9687959673174368,0.8763529426764785,2.865643190376696,0.0009524151699349948,3.9678946603824086,0.7517803063561969,0.9910948921419354,1.2513692552918643,0.625,10,4,2,2.4734842777252197,,"(0.05, 0.01, 0.05, 0.01, 0.05, 0.05)",,
MIOSR,0.6851754923600619,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9692078387284749,0.9783460921604986,0.05800177678039967,0.9997620684950196,0.06017813850004452,0.007332139528246132,0.010081166725304338,0.01589072008382253,1.0,12,0,0,2680.087924003601,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,0.9389309106617063,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-0.9624597603812841,-0.24292700555273675,3.727526921909428,0.3451399688239208,1.831619514098645,0.35398992903464815,0.3863187187935669,0.4444444444444444,0.4117647058823529,7.0,5.0,5.0,7.9222328662872314,0.7029732115325472,0.05,,
