Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5345947518979977,0.09419049583446865,0.018665661067532077,-0.7404760469915759,0.3362748093777045,1.4882546278122424,1.188984741967353,1.3502284118223762,0.15384615384615385,2.0,5.0,6.0,1.1331069469451904,0.244205309454865,0.05,,
E-STLSQ,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.04363762751414557,-0.01766854225418496,0.021413917502135588,-0.6573496950593014,0.32660109449707525,1.3551862977418971,1.1541264018917405,1.2660595521851015,0.09090909090909091,1.0,3.0,7.0,5.13046669960022,0.244205309454865,0.05,,
SR3,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5371306593958888,-1625.5914604003058,36.768485062719016,-46912653.631376475,1597.881046481976,6618.887092278462,4891.982341636656,6989.124274442938,0.4,8.0,12.0,0.0,0.7987687587738037,0.00031622776601683794,,0.03333333333333333,
SSR,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5352218286116235,0.13954571034332003,0.017735952889739594,-0.8425416932685529,0.34266097986121646,1.6053478969247361,1.3222817385840997,1.571171899441895,0.07692307692307693,1,5,7,0.0986015796661377,,"(0.2, 0.05)",,
MIOSR,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5354282958537764,0.13821386754680282,0.017759707367914032,-2.2984441579953745,0.4656594117278862,1.7930859202453977,1.4790197598963235,1.65491121483799,0.08333333333333333,1,4,7,72.0990698337555,,"(0.001, 0)",,"(3, 2)"
STLSQ,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5731990944171212,-0.4705295148151445,0.02259696799646124,-0.7633830019522732,0.33011467776198733,1.6585508233320514,1.5729307555677097,2.637761781653649,0.4,4.0,2.0,4.0,1.1326489448547363,0.32374575428176433,0.001,,
E-STLSQ,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-1.6528754400796948,-7.175580503905667,0.11588170955289183,-1.7616204678712517,0.40472141190492666,0.8538615364711271,0.8672862670367795,1.0,0.2222222222222222,2.0,1.0,6.0,5.6793928146362305,0.32374575428176433,0.001,,
SR3,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5763794467029449,-302.70924353876785,5.673647136752093,-286279.9557409466,121.09101264077749,507.4997111487985,390.8586573950099,484.289666687363,0.4,8.0,12.0,0.0,0.8245594501495361,0.00031622776601683794,,0.03333333333333333,
SSR,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5739307364975259,0.1642822637458472,0.01397146771985875,-0.7901084100848654,0.3373249239530149,1.5493983927682122,1.2968565662670524,1.5629640298343785,0.15384615384615385,2,5,6,0.09993529319763184,,"(0.2, 0.05)",,
MIOSR,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5742968011940319,0.15706081369237695,0.014062220954299515,-2.217347518872013,0.45979179042301893,1.7838744698482545,1.4717432934073058,1.6269283521590197,0.08333333333333333,1,4,7,71.3203501701355,,"(0.01, 0)",,"(3, 2)"
STLSQ,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6427304828286355,0.16153508620468715,0.01443353292168812,-0.9005398438346918,0.34946559132859367,1.6225151438862104,1.3452563338895027,1.572994818069842,0.08333333333333333,1.0,4.0,7.0,1.1951231956481934,0.244205309454865,0.05,,
E-STLSQ,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.1590178362881678,0.09571985003365063,0.015763436670139623,-0.6113451793364649,0.32592776123357997,1.2267690957388164,1.0033621737469351,1.0,0.16666666666666666,2.0,4.0,6.0,5.821434259414673,0.18420699693267165,0.05,,
SR3,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6494601205922284,-170.68698825157912,3.1486513596853616,-25711.962440608753,37.97956665586757,146.98290579191442,109.83635203141392,148.9608656561919,0.4,8.0,12.0,0.0,6.866463899612427,0.00031622776601683794,,0.03333333333333333,
SSR,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6427801579720189,0.19339860278682613,0.013787128727469506,-0.34391168443646813,0.30036967673902043,1.2350646231476876,0.9361894110288275,1.0,0.2857142857142857,4,6,4,0.10219001770019531,,"(0.05, 0.2)",,
MIOSR,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6471730540209588,0.20675139143104915,0.013461173100939867,-1.732638410734221,0.4282539731979389,1.1978813520642222,1.0942989231122269,1.6675908011444713,0.36363636363636365,4,3,4,75.57841300964355,,"(0, 0.2)",,"(3, 4)"
STLSQ,2.1300821788799253,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.5839604064581059,0.32585564099254255,0.012153959171057611,-0.23303169136254964,0.27979171351675286,1.2560558823815962,1.4902905643919742,2.670194609310929,0.3,3.0,2.0,5.0,1.2323613166809082,0.49417133613238334,0.001,,
E-STLSQ,2.1300821788799253,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-5.6074383258756875,-1.3311215216301773,0.0395210125124878,-30.606387058019045,1.4735466547248628,3.9242932664311247,3.567713506305815,5.575883874219134,0.35714285714285715,5.0,6.0,3.0,6.478274583816528,0.244205309454865,0.001,,
SR3,2.1300821788799253,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.5477696559978394,-10.644440831441617,0.19474537214054427,-329.378208954175,4.685275329387257,15.920891868558439,15.558392726949254,20.785402140725736,0.3333333333333333,4.0,4.0,4.0,5.981653690338135,3.1622776601683795,,0.3333333333333333,
SSR,2.1300821788799253,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6882438589689908,0.25452503767947277,0.013321865732614645,0.7812858929588132,0.1143011615680201,0.6376228750706361,0.722083323604217,1.0,0.4,4,2,4,0.10510802268981934,,"(0.001, 0.01)",,
MIOSR,2.1300821788799253,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6913015456009832,0.2747636465321413,0.01297825200355196,-0.8845308362806861,0.35860958211503324,0.9519379745899377,0.8698196502085778,1.0,0.3333333333333333,4,4,4,81.46309542655945,,"(0, 1e-05)",,"(4, 4)"
STLSQ,2.7407019694402477,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.4566269575255292,0.3364285713939637,0.009674211586558889,0.5264959126387013,0.17548691563057311,1.0620707882352092,1.0442883274204269,1.5623722263035573,0.3,3.0,2.0,5.0,1.3476157188415527,0.244205309454865,0.2,,
E-STLSQ,2.7407019694402477,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.4628256494667098,0.3417356557155842,0.009556922831267276,0.5430472458948362,0.17223553205819733,1.0503177632650524,1.0276561969847275,1.4988792490349232,0.3,3.0,2.0,5.0,6.767773866653442,0.28117686979742307,0.2,,
SR3,2.7407019694402477,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-4.564287150689138,-0.32891348579037305,0.024099352680575406,-10.80012159089546,0.767748560771543,6.120965656125832,5.559387556166671,7.522832624681749,0.21428571428571427,3.0,6.0,5.0,6.859423398971558,0.8483428982440717,,0.3333333333333333,
SSR,2.7407019694402477,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-0.4498067563615948,0.33980494086294727,0.0096340249220525,0.5586375976246805,0.1687657731462438,0.7001874177422157,0.8819941276227186,1.5552714698766181,0.4444444444444444,4,1,4,0.10761213302612305,,"(0.2, 0.001)",,
MIOSR,2.7407019694402477,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6931198048317257,0.3579489282375306,0.00924298639032043,0.9991711750528924,0.0074646686116265236,0.04101106331577681,0.054481043941323984,0.11510860173301718,0.875,7,0,1,86.80030798912048,,"(0, 0.01)",,"(3, 4)"
STLSQ,3.5263650199840852,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.7869095071901745,0.5099474192817508,0.008524098111168124,0.9398026308345114,0.06099906992805295,0.5296164855204792,0.5267099901471554,1.0,0.5384615384615384,7.0,5.0,1.0,1.425323247909546,0.1206792640639329,0.2,,
