Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.25,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.8629767737224459,-0.17600870531166155,70.99682236514262,-1.5681025342990798,121.78025364776602,2.74079216213819,3.355461016902028,3.662801173852006,0.3,3.0,3.0,4.0,1.3753154277801514,3.727593720314938,0.001,,
E-STLSQ,0.25,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",-1.5536879096478333,-1.7663387975708755,275.24602847646673,-0.020155716790357183,73.50312378216928,0.8533213277362489,0.8542124896752078,0.8525201887882483,0.3333333333333333,3.0,2.0,4.0,7.157841444015503,3.727593720314938,0.001,,
SR3,0.25,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.9112336200570273,-18.543121765217457,1140.9659495836204,-3.2887781277563937,151.84328809301292,9.772922662548716,9.516790898891932,8.957454397237939,0.2857142857142857,4.0,7.0,3.0,8.74256420135498,27.464741148160503,,0.03333333333333333,
SSR,0.25,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.9555889053161386,0.5915471550354497,28.47008448414142,-7.008103533956147,195.1076125311773,4.506265155935657,4.029898168862688,3.6610506052928993,0.23076923076923078,3,6,4,0.10738039016723633,,"(0.2, 0.001, 0.001)",,
MIOSR,0.25,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.9555151119461377,0.689075397022669,25.959101004900006,0.9915611057309464,6.433870308074594,0.0588728439131979,0.0636131724118814,0.06162914814388972,0.75,6,1,1,124.00295305252075,,"(0, 1e-05, 0)",,"(2, 3, 2)"
STLSQ,0.3513325357035531,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.959709848713092,0.6958153682307832,312.45448983235735,-1.228993810871874,114.15939012643449,4.91346332543164,4.530262903312167,3.5098386206103873,0.3333333333333333,4.0,5.0,3.0,1.406707763671875,3.727593720314938,0.001,,
E-STLSQ,0.3513325357035531,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.2814462543880486,0.27089661832384077,896.7295518797014,-0.9025850284924773,105.96881646080423,2.496299724262259,2.891006463028274,3.052122040224064,0.2222222222222222,2.0,2.0,5.0,7.639923095703125,6.551285568595509,0.001,,
SR3,0.3513325357035531,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",-2.1271071001065223,-5.522824878901901,2798.6013075622864,-0.16528836341434783,69.97489664122709,3.364535180437932,4.01186805728312,4.372066335139608,0.0,0.0,2.0,7.0,15.283942222595215,23.85344006431419,,0.1,
SSR,0.3513325357035531,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.9594237053918957,0.864811653837657,244.79890756832518,0.5677572533318855,43.12114772006159,2.733085611711398,3.2648949385746757,3.4365642475870253,0.6666666666666666,6,2,1,0.10901427268981934,,"(0.0, 0.0, 0.01)",,
MIOSR,0.3513325357035531,0.002,0.002,42,"(-1.254598811526375, 4.507143064099161, 31.959818254342153)",0.9574831603302663,0.9603672420110329,34.597789484875875,0.9945691012384037,4.846832147605207,0.036581632696967424,0.04311560808015685,0.03571428571428571,0.8571428571428571,6,0,1,126.76724553108215,,"(0, 0, 0)",,"(2, 2, 2)"
