Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.5,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9774567942247607,0.5688529556971896,1.2180240422952477,-1.5308222208875217,4.44767285151799,0.9774384861201054,0.8139642219702968,0.8429653789445423,0.32,8.0,13.0,4.0,3.863370895385742,0.7029732115325472,0.01,,
E-STLSQ,0.5,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.5333435538571913,-0.014382104187843803,2.425054058045653,0.3519387532064022,3.8496599405493037,0.6880806745356361,0.7012628908760752,0.7777777777777778,0.29411764705882354,5.0,5.0,7.0,22.734116077423096,0.9319395762340775,0.01,,
SR3,0.5,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",-0.1754713200684852,-81.98524879862525,231.70099759743883,-855.6970287436454,175.2411708957314,34.77585967605124,29.556634485889184,36.78161506301098,0.023809523809523808,1.0,30.0,11.0,22.066648960113525,100.0,,3.3333333333333335,
SSR,0.5,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9831230093974299,0.8858475983062859,0.1420108215749586,0.7616312737914318,1.4800737252736582,0.18226192262690158,0.32516375681978726,0.5555555555555556,0.7142857142857143,10,2,2,0.6883916854858398,,"(0.001, 0.05, 0.2, 0.01, 0.05, 0.2)",,
MIOSR,0.5,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9936894570526166,0.9283098720913854,0.0534687068992807,0.9999756635267107,0.02617311794260845,0.001968897805543657,0.002681667322274536,0.003854677513113537,1.0,12,0,0,334.32516717910767,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,0.6851754923600619,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9459516796397566,0.5437632899800198,2.4806311319109686,0.26725033913616303,2.550822084102248,0.4014287005610987,0.4579206456914816,0.5555555555555556,0.4375,7.0,4.0,5.0,4.144820213317871,0.7029732115325472,0.05,,
E-STLSQ,0.6851754923600619,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9468629269020035,0.5754677300915317,2.344007846864536,0.5304710281644,2.3595545819462624,0.44385353911739794,0.43978072211124414,0.5555555555555556,0.36363636363636365,8.0,10.0,4.0,24.021841526031494,0.6105402296585326,0.05,,
SR3,0.6851754923600619,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",-0.6124110472851271,-0.48180478965901347,46.51310051035487,-0.0005245278511139576,5.596749512395347,1.0,1.0,1.0,0.0,0.0,0.0,12.0,24.343506574630737,100.0,,3.3333333333333335,
SSR,0.6851754923600619,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9930380113402806,0.9897790955308716,0.0481073587273941,0.9999182659709961,0.03907955976956324,0.004575531237864568,0.006499704180786423,0.01137052122832611,1.0,12,0,0,0.7071797847747803,,"(0.01, 0.05, 0.0, 0.05, 0.01, 0.001)",,
MIOSR,0.6851754923600619,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.993038293606182,0.9897771666627527,0.04805999712038652,0.9999282743290079,0.03741417025309277,0.004267808698233499,0.0058970374259396585,0.009545772463297611,1.0,12,0,0,307.23132133483887,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,0.9389309106617063,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.93295206674256,0.885793087703758,0.341408565409633,0.8678055269302467,1.3316307905699785,0.10926339759754129,0.23415600126534764,0.4444444444444444,0.8333333333333334,10.0,0.0,2.0,4.346924543380737,0.8094001216083124,0.05,,
E-STLSQ,0.9389309106617063,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9235430487514474,0.8344012401904825,0.47257573513473733,0.7321236487691787,1.4842342288513088,0.15997374882638002,0.28160198559239885,0.4444444444444444,0.75,9.0,0.0,3.0,26.79927706718445,0.8094001216083124,0.05,,
SR3,0.9389309106617063,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9719099963980136,-3.259514968810752,15.773196427946887,-116.99150495686065,33.607284668873135,11.702173696126449,5.655535313780951,5.098768247411509,0.0945945945945946,7.0,62.0,5.0,26.35761046409607,2.329951810515372,,0.1,
SSR,0.9389309106617063,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9767783989395239,0.9597800695078161,0.06520527019954651,0.9058054930666476,0.6353912313096474,0.0654498394862921,0.1399336398208096,0.2222222222222222,0.8461538461538461,11,1,1,0.73008131980896,,"(0.01, 0.001, 0.2, 0.01, 0.0, 0.001)",,
MIOSR,0.9389309106617063,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9946939650612318,0.9881194469671656,0.041736339135365536,0.9999810517233119,0.023369953492647387,0.0012530978821070349,0.0018173395576412605,0.0033093796991131206,1.0,12,0,0,248.13249588012695,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,1.2866648980094317,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9961753862160881,0.9955551438602553,0.042015035677704905,0.9999808145534634,0.022725718545506604,0.0009966772220804036,0.0011521729466000034,0.0017412872349003511,1.0,12.0,0.0,0.0,4.636197328567505,0.46053782558224143,0.01,,
E-STLSQ,1.2866648980094317,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9961733198289572,0.9955546227383576,0.042022531454016,0.9999776362097681,0.02331894478105555,0.0014074996291709718,0.001700346560032179,0.0020460474760506386,1.0,12.0,0.0,0.0,29.40558695793152,0.5302611335911988,0.01,,
SR3,1.2866648980094317,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.1975210376871183,0.07945989490927592,23.329135453471462,-0.13128225193153686,5.4111801168198035,0.8741547257725835,0.8628341291948055,1.0,0.16666666666666666,2.0,0.0,10.0,25.68718671798706,5.963623316594643,,3.3333333333333335,
SSR,1.2866648980094317,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9961750290248466,0.9955554051044212,0.04201041915201065,0.9999820296941365,0.021885559709899922,0.0011617081954691318,0.001259938125167125,0.0017601628704256732,1.0,12,0,0,0.7617013454437256,,"(0.0, 0.2, 0.01, 0.2, 0.001, 0.05)",,
MIOSR,1.2866648980094317,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.9961753862160881,0.9955551438602553,0.042015035677704905,0.9999808145534634,0.022725718545506604,0.0009966772220804036,0.0011521729466000034,0.0017412872349003511,1.0,12,0,0,215.39884209632874,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,1.7631825099920424,0.002,0.002,10,"(0.8139619298002381, -1.4377441519217955, 0.4009447047788264, 0.7464116476158358, -0.004478963092228838, -0.825610063407457)",0.996566585376328,0.9917601308962919,0.03704092431880333,0.9999820844564002,0.02259954264460603,0.0006526676374419874,0.0009155034520715984,0.0016425485313114052,1.0,12.0,0.0,0.0,4.9993531703948975,0.12949258422052626,0.05,,
