Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,25,0.1,0.25,50,200,37,0.07016091480230317,0.07715964182461209,0.1102080386003258,1.0,3.0,0.0,0.0,2.728036403656006
STLSQ,25,0.1,0.25,50,200,37,0.07016091480230317,0.07715964182461209,0.1102080386003258,1.0,3.0,0.0,0.0,0.2692749500274658
SSR,25,0.1,0.25,50,200,37,0.07016091480230373,0.07715964182461271,0.11020803860032691,1.0,3.0,0.0,0.0,0.05043172836303711
SR3,25,0.1,0.25,50,200,37,0.07016091480230317,0.07715964182461209,0.1102080386003258,1.0,3.0,0.0,0.0,6.107776403427124
E-STLSQ,25,0.1,0.25,50,200,37,0.0702328704429025,0.07722376187252117,0.1102080386003258,1.0,3.0,0.0,0.0,0.13836884498596191
MIOSR,25,0.1,0.5,50,200,37,0.12533762238486748,0.13494912196939748,0.1912419555525865,1.0,3.0,0.0,0.0,2.8350696563720703
STLSQ,25,0.1,0.5,50,200,37,0.12533762238486748,0.13494912196939748,0.1912419555525865,1.0,3.0,0.0,0.0,0.27051806449890137
SSR,25,0.1,0.5,50,200,37,0.12533762238487275,0.13494912196940323,0.1912419555525946,1.0,3.0,0.0,0.0,0.05018806457519531
SR3,25,0.1,0.5,50,200,37,0.12533762238486748,0.13494912196939748,0.1912419555525865,1.0,3.0,0.0,0.0,11.282282829284668
E-STLSQ,25,0.1,0.5,50,200,37,0.13139822191082887,0.14047652325908117,0.19532575563204735,1.0,3.0,0.0,0.0,0.14134454727172852
MIOSR,25,0.1,0.75,50,200,37,0.18691717252620466,0.19948381644345306,0.28086931623928335,1.0,3.0,0.0,0.0,2.8725714683532715
STLSQ,25,0.1,0.75,50,200,37,0.18691717252620466,0.19948381644345306,0.28086931623928335,1.0,3.0,0.0,0.0,0.2719457149505615
SSR,25,0.1,0.75,50,200,37,0.18691717252620818,0.19948381644345684,0.28086931623928846,1.0,3.0,0.0,0.0,0.0495760440826416
SR3,25,0.1,0.75,50,200,37,0.18691717252620466,0.19948381644345306,0.28086931623928335,1.0,3.0,0.0,0.0,35.59380006790161
E-STLSQ,25,0.1,0.75,50,200,37,0.18691717252620466,0.19948381644345306,0.28086931623928335,1.0,3.0,0.0,0.0,0.14224863052368164
MIOSR,25,0.1,1.0,50,200,37,0.2524356638993239,0.2679570278341449,0.37516778926549044,1.0,3.0,0.0,0.0,2.9461960792541504
STLSQ,25,0.1,1.0,50,200,37,0.2524356638993239,0.2679570278341449,0.37516778926549044,1.0,3.0,0.0,0.0,0.28586816787719727
SSR,25,0.1,1.0,50,200,37,0.30721828913638854,0.3254022622421812,0.45097942871324925,1.0,3.0,0.0,0.0,0.04908037185668945
SR3,25,0.1,1.0,50,200,37,0.2811503161369869,0.27929739205290116,0.3744828255189405,0.42857142857142855,3.0,4.0,0.0,63.98521184921265
E-STLSQ,25,0.1,1.0,50,200,37,0.26376539209747235,0.2815383068191221,0.39712521388938504,1.0,3.0,0.0,0.0,0.13096261024475098
MIOSR,25,0.1,1.25,50,200,37,0.31964103602170224,0.3378944747693851,0.47055035190807126,1.0,3.0,0.0,0.0,3.156092643737793
STLSQ,25,0.1,1.25,50,200,37,0.31964103602170224,0.3378944747693851,0.47055035190807126,1.0,3.0,0.0,0.0,0.2967803478240967
SSR,25,0.1,1.25,50,200,37,0.3673842897061696,0.3877803155565773,0.536031673273345,1.0,3.0,0.0,0.0,0.048993825912475586
SR3,25,0.1,1.25,50,200,37,0.3871127912373842,0.3940203899261739,0.5347387747046963,0.3333333333333333,3.0,6.0,0.0,66.19855403900146
E-STLSQ,25,0.1,1.25,50,200,37,0.31964103602170224,0.3378944747693851,0.47055035190807126,1.0,3.0,0.0,0.0,0.13647747039794922
MIOSR,25,0.1,1.5,50,200,37,0.38661885603847906,0.40722562906163157,0.5639819343428946,1.0,3.0,0.0,0.0,3.518813133239746
STLSQ,25,0.1,1.5,50,200,37,0.38661885603847906,0.40722562906163157,0.5639819343428946,1.0,3.0,0.0,0.0,0.29113054275512695
SSR,25,0.1,1.5,50,200,37,0.6748765799852738,0.7189030190186717,1.0,0.6666666666666666,2.0,0.0,1.0,0.049643754959106445
SR3,25,0.1,1.5,50,200,37,0.4736668130057991,0.4708908849368887,0.636149690875379,0.3,3.0,7.0,0.0,65.87728953361511
E-STLSQ,25,0.1,1.5,50,200,37,0.4151741138787304,0.4377141494755339,0.6005804154230657,1.0,3.0,0.0,0.0,0.14264583587646484
MIOSR,25,0.1,1.75,50,200,37,0.6824022713856158,0.7293214513984556,1.0,0.5,2.0,1.0,1.0,3.5387179851531982
STLSQ,25,0.1,1.75,50,200,37,0.6782950558594388,0.7198809600617072,1.0,0.6666666666666666,2.0,0.0,1.0,0.2911834716796875
SSR,25,0.1,1.75,50,200,37,0.6943434415351702,0.7311855410542537,1.0,0.6666666666666666,2.0,0.0,1.0,0.05027890205383301
SR3,25,0.1,1.75,50,200,37,0.6929939519466326,0.5782740680049134,0.7270827926495453,0.23076923076923078,3.0,10.0,0.0,65.04499626159668
E-STLSQ,25,0.1,1.75,50,200,37,0.6835061019869966,0.72437824315726,1.0,0.6666666666666666,2.0,0.0,1.0,0.13689494132995605
MIOSR,25,0.1,2.0,50,200,37,0.7364254002770845,0.7394386203656049,1.0,0.5,2.0,1.0,1.0,3.8708293437957764
STLSQ,25,0.1,2.0,50,200,37,0.6861500805494366,0.7241239293760421,1.0,0.6666666666666666,2.0,0.0,1.0,0.2916545867919922
SSR,25,0.1,2.0,50,200,37,0.7019311286706899,0.7355492282991684,1.0,0.6666666666666666,2.0,0.0,1.0,0.04946088790893555
SR3,25,0.1,2.0,50,200,37,0.7166837075154778,0.7425570591819629,1.0,0.2222222222222222,2.0,6.0,1.0,66.38051581382751
E-STLSQ,25,0.1,2.0,50,200,37,0.6861500805494366,0.7241239293760421,1.0,0.6666666666666666,2.0,0.0,1.0,0.1335315704345703
MIOSR,25,0.1,2.25,50,200,37,0.7508777661856118,0.7470009681685301,1.0,0.5,2.0,1.0,1.0,3.9391748905181885
STLSQ,25,0.1,2.25,50,200,37,0.6950542417109951,0.7294567044118231,1.0,0.6666666666666666,2.0,0.0,1.0,0.28815746307373047
SSR,25,0.1,2.25,50,200,37,0.7105099544873976,0.7409461000184204,1.0,0.6666666666666666,2.0,0.0,1.0,0.04933524131774902
SR3,25,0.1,2.25,50,200,37,0.733067506610659,0.7514475235723355,1.0,0.2,2.0,7.0,1.0,68.79744601249695
E-STLSQ,25,0.1,2.25,50,200,37,0.6950542417109951,0.7294567044118231,1.0,0.6666666666666666,2.0,0.0,1.0,0.13944244384765625
MIOSR,25,0.1,2.5,50,200,37,0.7663360552859863,0.7557645528823232,1.0,0.5,2.0,1.0,1.0,4.5343217849731445
STLSQ,25,0.1,2.5,50,200,37,0.7049425876279211,0.7359406312699874,1.0,0.6666666666666666,2.0,0.0,1.0,0.27979135513305664
SSR,25,0.1,2.5,50,200,37,0.7200142307561711,0.7474234564253346,1.0,0.6666666666666666,2.0,0.0,1.0,0.05035209655761719
SR3,25,0.1,2.5,50,200,37,0.7473315075490934,0.7611003913018979,1.0,0.18181818181818182,2.0,8.0,1.0,67.05336403846741
E-STLSQ,25,0.1,2.5,50,200,37,0.7049425876279211,0.7359406312699874,1.0,0.6666666666666666,2.0,0.0,1.0,0.14270329475402832
MIOSR,25,0.1,2.75,50,200,37,0.7825351112032003,0.7656234711113552,1.0,0.5,2.0,1.0,1.0,4.969324111938477
STLSQ,25,0.1,2.75,50,200,37,0.9599708805753085,0.8178669637519556,1.0,0.4,2.0,2.0,1.0,0.27549219131469727
