Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,10,0.004797062002338195,0.0056467432131470634,0.008400977757300754,1.0,14.0,0.0,0.0,38.418864727020264
STLSQ,5,0.02,0.025,36,400,10,0.004797062002338195,0.0056467432131470634,0.008400977757300754,1.0,14.0,0.0,0.0,1.2043077945709229
SSR,5,0.02,0.025,36,400,10,0.0047970620021434455,0.005646743212895231,0.008400977757008321,1.0,14.0,0.0,0.0,0.8712058067321777
SR3,5,0.02,0.025,36,400,10,0.004797062002338195,0.0056467432131470634,0.008400977757300754,1.0,14.0,0.0,0.0,143.0025668144226
E-STLSQ,5,0.02,0.025,36,400,10,0.004797062002338195,0.0056467432131470634,0.008400977757300754,1.0,14.0,0.0,0.0,0.5709435939788818
MIOSR,5,0.02,0.05,36,400,10,0.011794008053265264,0.013501238338145665,0.02047121338828628,1.0,14.0,0.0,0.0,32.562580823898315
STLSQ,5,0.02,0.05,36,400,10,0.011794008053265264,0.013501238338145665,0.02047121338828628,1.0,14.0,0.0,0.0,1.2826080322265625
SSR,5,0.02,0.05,36,400,10,0.011794008053322782,0.013501238338216325,0.020471213388416176,1.0,14.0,0.0,0.0,0.9421048164367676
SR3,5,0.02,0.05,36,400,10,0.1318855507312393,0.18088824162742365,0.36530451265726255,0.7,14.0,6.0,0.0,175.4784164428711
E-STLSQ,5,0.02,0.05,36,400,10,0.011794008053265264,0.013501238338145665,0.02047121338828628,1.0,14.0,0.0,0.0,0.6848056316375732
MIOSR,5,0.02,0.075,36,400,10,0.021504552800845345,0.023803398425793956,0.03632334050795738,1.0,14.0,0.0,0.0,45.45161819458008
STLSQ,5,0.02,0.075,36,400,10,0.021504552800845345,0.023803398425793956,0.03632334050795738,1.0,14.0,0.0,0.0,1.302593469619751
SSR,5,0.02,0.075,36,400,10,0.02150455280066889,0.02380339842557211,0.03632334050762909,1.0,14.0,0.0,0.0,0.9732329845428467
