Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.004414796829223633
E-STLSQ,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.1640181541442871
STLSQ,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0044097900390625
SSR,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.015373945236206055
SR3,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0025157928466796875
MIOSR,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7885715961456299
MIOSR-Opt,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7530167102813721
MIOSR-Build,0.5,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.03297829627990723
Preprocessing,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0034990310668945312
E-STLSQ,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.1713089942932129
STLSQ,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.003277301788330078
SSR,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.014426469802856445
SR3,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0023756027221679688
MIOSR,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.5899100303649902
MIOSR-Opt,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.568366289138794
MIOSR-Build,0.8277532798848107,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.01904749870300293
Preprocessing,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0033600330352783203
E-STLSQ,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.19701862335205078
STLSQ,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0035605430603027344
SSR,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.01713728904724121
SR3,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.002508878707885742
MIOSR,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.6354978084564209
MIOSR-Opt,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.6133790016174316
MIOSR-Build,1.3703509847201238,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.019418954849243164
Preprocessing,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0037827491760253906
E-STLSQ,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.20963788032531738
STLSQ,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.00401759147644043
SSR,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.017440080642700195
SR3,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0029451847076416016
MIOSR,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7480826377868652
MIOSR-Opt,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7255377769470215
MIOSR-Build,2.268625044390925,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.019469738006591797
Preprocessing,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.004860401153564453
E-STLSQ,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.2536327838897705
STLSQ,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0067174434661865234
