Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.004239797592163086
E-STLSQ,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.4061100482940674
STLSQ,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.0073740482330322266
SSR,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.03760647773742676
SR3,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.21664094924926758
MIOSR,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",2.704563856124878
MIOSR-Opt,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",2.6591312885284424
MIOSR-Build,0.5,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.04227113723754883
Preprocessing,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.003126859664916992
E-STLSQ,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.5552728176116943
STLSQ,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.015319585800170898
SSR,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.03830313682556152
SR3,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",2.073362112045288
MIOSR,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",1.9626736640930176
MIOSR-Opt,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",1.9295654296875
MIOSR-Build,0.8277532798848107,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.028666019439697266
Preprocessing,1.3703509847201238,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.003916263580322266
E-STLSQ,1.3703509847201238,0.002,0.002,14,20,"(0.1394334377269022, 2.731650520792968, 36.11283057174438)",0.6546616554260254
