Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.016817092895507812
E-STLSQ,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",4.742671966552734
STLSQ,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.09561014175415039
SSR,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",9.730110168457031
SR3,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",14.722275018692017
MIOSR,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",181.45830750465393
MIOSR-Opt,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",180.85203051567078
MIOSR-Build,0.5,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.5666782855987549
Preprocessing,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.018115520477294922
E-STLSQ,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",9.327885866165161
STLSQ,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.18400883674621582
SSR,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",17.512268781661987
SR3,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",17.634559154510498
MIOSR,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",183.23607230186462
MIOSR-Opt,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",182.59337282180786
MIOSR-Build,0.8277532798848107,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.5632896423339844
Preprocessing,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.02272939682006836
E-STLSQ,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",17.430166959762573
STLSQ,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.39357566833496094
SSR,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",29.32148289680481
SR3,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",22.63340950012207
MIOSR,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",183.41646075248718
MIOSR-Opt,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",182.65961813926697
MIOSR-Build,1.3703509847201238,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.6196415424346924
Preprocessing,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.029044151306152344
E-STLSQ,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",29.066177129745483
STLSQ,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.4972236156463623
SSR,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",40.64728617668152
SR3,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",26.705861568450928
MIOSR,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",171.5337677001953
MIOSR-Opt,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",170.71147775650024
MIOSR-Build,2.268625044390925,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.6617517471313477
Preprocessing,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.03797769546508789
E-STLSQ,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",53.084166049957275
STLSQ,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.6987700462341309
SSR,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",61.10047698020935
SR3,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",36.73884296417236
MIOSR,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",154.10193133354187
MIOSR-Opt,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",153.1907708644867
MIOSR-Build,3.7557236426468257,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.7049274444580078
Preprocessing,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.0513911247253418
E-STLSQ,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",84.46475052833557
STLSQ,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.8702833652496338
SSR,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",79.3557620048523
SR3,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.3521404266357422
MIOSR,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",162.39324688911438
MIOSR-Opt,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",161.23971843719482
MIOSR-Build,6.217625127083679,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.8718106746673584
Preprocessing,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.056697845458984375
E-STLSQ,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",164.2501139640808
STLSQ,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",1.6640410423278809
SSR,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",153.63782358169556
SR3,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",73.57413125038147
MIOSR,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",124.94446301460266
MIOSR-Opt,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",123.51042914390564
MIOSR-Build,10.293319184075452,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.994166374206543
Preprocessing,17.040657431039403,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.08984899520874023
E-STLSQ,17.040657431039403,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",255.29055833816528
STLSQ,17.040657431039403,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",2.2807984352111816
SSR,17.040657431039403,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",205.99537777900696
SR3,17.040657431039403,0.002,0.002,28,462,"(0.6870412268673571, 0.18371880698292342, -1.1250987239722772, -0.3072228938996484, 0.8439246188204281, 0.032978944959339396)",0.8190054893493652
