Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0012559890747070312
STLSQ,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.003184080123901367
SSR,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.00835275650024414
SR3,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0459132194519043
MIOSOS,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.05371379852294922
MIOSOS-Opt,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.04341626167297363
MIOSOS-Build,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.008213996887207031
Warm-MIOSOS,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03755998611450195
Warm-MIOSOS-Opt,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.031044721603393555
Warm-MIOSOS-Build,0.5,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005239248275756836
Preprocessing,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0009179115295410156
STLSQ,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.004560947418212891
SSR,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.009258031845092773
SR3,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0501101016998291
MIOSOS,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.028022050857543945
MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.020450830459594727
MIOSOS-Build,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.004928112030029297
Warm-MIOSOS,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0248410701751709
Warm-MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.01828765869140625
Warm-MIOSOS-Build,0.8277532798848107,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0050470829010009766
Preprocessing,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0010380744934082031
STLSQ,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.008073091506958008
SSR,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.014014005661010742
SR3,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0068111419677734375
MIOSOS,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03224992752075195
MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.022883892059326172
MIOSOS-Build,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.004930019378662109
Warm-MIOSOS,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.029658079147338867
Warm-MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.022929906845092773
Warm-MIOSOS-Build,1.3703509847201238,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005020856857299805
Preprocessing,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0011889934539794922
STLSQ,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.013267040252685547
SSR,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.021270036697387695
SR3,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.010968923568725586
MIOSOS,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.038587093353271484
MIOSOS-Opt,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.028313875198364258
MIOSOS-Build,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.004908084869384766
Warm-MIOSOS,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03646993637084961
Warm-MIOSOS-Opt,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.029190778732299805
Warm-MIOSOS-Build,2.268625044390925,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0051343441009521484
Preprocessing,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0015079975128173828
STLSQ,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.017457008361816406
SSR,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03157401084899902
SR3,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.018529176712036133
MIOSOS,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.07021093368530273
MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.05750417709350586
MIOSOS-Build,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.00502324104309082
Warm-MIOSOS,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.04902386665344238
Warm-MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.04099607467651367
Warm-MIOSOS-Build,3.7557236426468257,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005238056182861328
Preprocessing,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0019757747650146484
STLSQ,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.029469966888427734
SSR,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.042397260665893555
SR3,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.023402929306030273
MIOSOS,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.04581785202026367
MIOSOS-Opt,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0289151668548584
MIOSOS-Build,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005233049392700195
Warm-MIOSOS,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.038687944412231445
Warm-MIOSOS-Opt,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.02933478355407715
Warm-MIOSOS-Build,6.217625127083679,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005451202392578125
Preprocessing,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0028231143951416016
STLSQ,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03809475898742676
SSR,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.062310218811035156
SR3,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.03888201713562012
MIOSOS,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.04201006889343262
MIOSOS-Opt,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.018904924392700195
MIOSOS-Build,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0055811405181884766
Warm-MIOSOS,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.028799057006835938
Warm-MIOSOS-Opt,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.017415285110473633
Warm-MIOSOS-Build,10.293319184075452,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.005601644515991211
Preprocessing,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.004107952117919922
