Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0013060569763183594
STLSQ,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.004793882369995117
SSR,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.011293888092041016
SR3,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0034761428833007812
MIOSOS,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.16074109077453613
MIOSOS-Opt,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.14754438400268555
MIOSOS-Build,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.010933637619018555
Warm-MIOSOS,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.13403701782226562
Warm-MIOSOS-Opt,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.12367987632751465
Warm-MIOSOS-Build,0.5,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.008543014526367188
Preprocessing,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0009648799896240234
STLSQ,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.005041837692260742
SSR,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.012783050537109375
SR3,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05031323432922363
MIOSOS,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0789496898651123
MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.06891107559204102
MIOSOS-Build,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007351398468017578
Warm-MIOSOS,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.06078290939331055
Warm-MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05129551887512207
Warm-MIOSOS-Build,0.8277532798848107,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.00775599479675293
Preprocessing,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0010571479797363281
STLSQ,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.005254983901977539
SSR,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01877284049987793
SR3,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05694103240966797
MIOSOS,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05084586143493652
MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03977656364440918
MIOSOS-Build,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007463693618774414
Warm-MIOSOS,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0502779483795166
Warm-MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.040744781494140625
Warm-MIOSOS-Build,1.3703509847201238,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007686614990234375
Preprocessing,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0012421607971191406
STLSQ,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007281064987182617
SSR,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.026135921478271484
SR3,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.027554035186767578
MIOSOS,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03471493721008301
MIOSOS-Opt,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.02259087562561035
MIOSOS-Build,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0071527957916259766
Warm-MIOSOS,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03531599044799805
Warm-MIOSOS-Opt,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.025758981704711914
Warm-MIOSOS-Build,2.268625044390925,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007424831390380859
Preprocessing,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0015628337860107422
STLSQ,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.009274721145629883
SSR,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.040659427642822266
SR3,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.012536048889160156
MIOSOS,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0348362922668457
MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.019951820373535156
MIOSOS-Build,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.00745391845703125
Warm-MIOSOS,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.030964136123657227
Warm-MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.02047419548034668
Warm-MIOSOS-Build,3.7557236426468257,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007748603820800781
Preprocessing,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.002001047134399414
STLSQ,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.013688087463378906
SSR,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05176210403442383
SR3,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.015341043472290039
MIOSOS,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03232407569885254
MIOSOS-Opt,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.013918161392211914
MIOSOS-Build,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.00765681266784668
Warm-MIOSOS,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.029729843139648438
Warm-MIOSOS-Opt,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.018239974975585938
Warm-MIOSOS-Build,6.217625127083679,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.007766246795654297
Preprocessing,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0028438568115234375
STLSQ,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.021492958068847656
SSR,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.08719897270202637
SR3,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.024197101593017578
MIOSOS,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.04066896438598633
MIOSOS-Opt,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.015456914901733398
MIOSOS-Build,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.008098125457763672
Warm-MIOSOS,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.033782005310058594
Warm-MIOSOS-Opt,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.018587589263916016
Warm-MIOSOS-Build,10.293319184075452,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.009794950485229492
Preprocessing,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.004330158233642578
STLSQ,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03534507751464844
SSR,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.03269100189209
SR3,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.4739992618560791
MIOSOS,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.1809070110321045
MIOSOS-Opt,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.07676076889038086
MIOSOS-Build,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.022176027297973633
Warm-MIOSOS,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.03710508346557617
Warm-MIOSOS-Opt,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01897716522216797
Warm-MIOSOS-Build,17.040657431039403,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.009765625
Preprocessing,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.006429910659790039
STLSQ,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0508570671081543
SSR,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.21461009979248047
SR3,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05898904800415039
MIOSOS,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.07405900955200195
MIOSOS-Opt,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01696944236755371
MIOSOS-Build,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.011232137680053711
Warm-MIOSOS,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.042052268981933594
Warm-MIOSOS-Opt,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01760578155517578
Warm-MIOSOS-Build,28.210920159872682,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.011432170867919922
Preprocessing,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.010143041610717773
STLSQ,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.08908820152282715
SSR,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.35190773010253906
SR3,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.09596490859985352
MIOSOS,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.10020589828491211
MIOSOS-Opt,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.015476703643798828
MIOSOS-Build,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.012362957000732422
Warm-MIOSOS,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.05154585838317871
Warm-MIOSOS-Opt,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01789259910583496
Warm-MIOSOS-Build,46.70336338180629,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.012978792190551758
Preprocessing,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.016263246536254883
STLSQ,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.14055585861206055
SSR,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.5543191432952881
SR3,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.14590811729431152
MIOSOS,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.15375995635986328
MIOSOS-Opt,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01969289779663086
MIOSOS-Build,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.018299102783203125
Warm-MIOSOS,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.07523202896118164
Warm-MIOSOS-Opt,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.022633790969848633
Warm-MIOSOS-Build,77.31772444188466,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.01895451545715332
Preprocessing,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.02764582633972168
STLSQ,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.2291088104248047
SSR,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.9038619995117188
SR3,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.2213141918182373
MIOSOS,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.23272705078125
MIOSOS-Opt,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.016539812088012695
MIOSOS-Build,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.023017406463623047
Warm-MIOSOS,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0960230827331543
Warm-MIOSOS-Opt,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.019283056259155273
Warm-MIOSOS-Build,128.0,0.002,0.002,1,20,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.02239203453063965
