Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.003957033157348633
STLSQ,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.25472187995910645
SSR,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",8.8765869140625
SR3,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.078688144683838
MIOSOS,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",180.40597200393677
MIOSOS-Opt,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",180.05568432807922
MIOSOS-Build,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.2367115020751953
Warm-MIOSOS,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",180.31239295005798
Warm-MIOSOS-Opt,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",180.06096267700195
Warm-MIOSOS-Build,0.5,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.24735140800476074
Preprocessing,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.0038437843322753906
STLSQ,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.4237198829650879
SSR,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",15.119383096694946
SR3,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.6568169593811035
MIOSOS,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1435.6567471027374
MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1435.245522737503
MIOSOS-Build,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.23875737190246582
Warm-MIOSOS,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2985.416298866272
Warm-MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2985.143468618393
Warm-MIOSOS-Build,0.8277532798848107,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.26556849479675293
Preprocessing,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.005137920379638672
STLSQ,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1.9116432666778564
SSR,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",24.701635122299194
SR3,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",3.1703720092773438
MIOSOS,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2150.7089569568634
MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2150.176349401474
MIOSOS-Build,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.262650728225708
Warm-MIOSOS,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2179.330627679825
Warm-MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2179.05699300766
Warm-MIOSOS-Build,1.3703509847201238,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.266221284866333
Preprocessing,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.0057599544525146484
STLSQ,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.306284189224243
SSR,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",26.22131609916687
SR3,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1.948045015335083
MIOSOS,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",109.8137309551239
MIOSOS-Opt,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",109.13322710990906
MIOSOS-Build,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.2641143798828125
Warm-MIOSOS,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",111.57635402679443
Warm-MIOSOS-Opt,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",111.25234985351562
Warm-MIOSOS-Build,2.268625044390925,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.31695055961608887
Preprocessing,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.006692171096801758
STLSQ,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",1.4732410907745361
SSR,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",34.947437047958374
