Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0012638568878173828
MIOSOS,0.5,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.03258395195007324
MIOSOS-Opt,0.5,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.023168087005615234
MIOSOS-Build,0.5,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.007414102554321289
Preprocessing,0.8277532798848107,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0008351802825927734
MIOSOS,0.8277532798848107,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.023151159286499023
MIOSOS-Opt,0.8277532798848107,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.016089439392089844
MIOSOS-Build,0.8277532798848107,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.004547834396362305
Preprocessing,1.3703509847201238,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.001013040542602539
MIOSOS,1.3703509847201238,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.026070117950439453
MIOSOS-Opt,1.3703509847201238,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.015914201736450195
MIOSOS-Build,1.3703509847201238,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.005155086517333984
Preprocessing,2.268625044390925,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0011987686157226562
MIOSOS,2.268625044390925,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.02837395668029785
MIOSOS-Opt,2.268625044390925,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.01723933219909668
MIOSOS-Build,2.268625044390925,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.004881858825683594
