Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0014460086822509766
MIOSOS,0.5,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",1.405691146850586
MIOSOS-Opt,0.5,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",1.3863532543182373
MIOSOS-Build,0.5,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.01207590103149414
Preprocessing,0.8277532798848107,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0012211799621582031
MIOSOS,0.8277532798848107,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",2.1664819717407227
MIOSOS-Opt,0.8277532798848107,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",2.1477317810058594
MIOSOS-Build,0.8277532798848107,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.010036230087280273
Preprocessing,1.3703509847201238,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0013349056243896484
MIOSOS,1.3703509847201238,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",1.0325732231140137
MIOSOS-Opt,1.3703509847201238,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",1.0097029209136963
MIOSOS-Build,1.3703509847201238,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.011533021926879883
Preprocessing,2.268625044390925,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0017819404602050781
MIOSOS,2.268625044390925,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.8359606266021729
MIOSOS-Opt,2.268625044390925,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.8011810779571533
MIOSOS-Build,2.268625044390925,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.015913724899291992
Preprocessing,3.7557236426468257,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.003017902374267578
MIOSOS,3.7557236426468257,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.6815707683563232
MIOSOS-Opt,3.7557236426468257,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.6290132999420166
MIOSOS-Build,3.7557236426468257,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.021451234817504883
Preprocessing,6.217625127083679,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.00400996208190918
MIOSOS,6.217625127083679,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.3083641529083252
MIOSOS-Opt,6.217625127083679,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.24485182762145996
MIOSOS-Build,6.217625127083679,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.020102262496948242
Preprocessing,10.293319184075452,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0046558380126953125
MIOSOS,10.293319184075452,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.24041080474853516
MIOSOS-Opt,10.293319184075452,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.16406512260437012
MIOSOS-Build,10.293319184075452,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.018905162811279297
Preprocessing,17.040657431039403,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.005624055862426758
MIOSOS,17.040657431039403,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.23438596725463867
MIOSOS-Opt,17.040657431039403,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.13623380661010742
MIOSOS-Build,17.040657431039403,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.020296335220336914
Preprocessing,28.210920159872682,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.008485078811645508
MIOSOS,28.210920159872682,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.24220800399780273
MIOSOS-Opt,28.210920159872682,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.09873747825622559
MIOSOS-Build,28.210920159872682,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.024103641510009766
Preprocessing,46.70336338180629,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.013328075408935547
MIOSOS,46.70336338180629,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.33599185943603516
MIOSOS-Opt,46.70336338180629,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.11147379875183105
MIOSOS-Build,46.70336338180629,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03136920928955078
Preprocessing,77.31772444188466,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.021838665008544922
MIOSOS,77.31772444188466,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.42275094985961914
MIOSOS-Opt,77.31772444188466,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.06782722473144531
MIOSOS-Build,77.31772444188466,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.045040130615234375
Preprocessing,128.0,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03876185417175293
MIOSOS,128.0,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.6197021007537842
MIOSOS-Opt,128.0,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03744792938232422
MIOSOS-Build,128.0,0.002,0.002,4,56,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.06659960746765137
