Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.0038390159606933594
MIOSOS,0.5,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",180.51740431785583
MIOSOS-Opt,0.5,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",180.08768439292908
MIOSOS-Build,0.5,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.359708309173584
Preprocessing,0.8277532798848107,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.004979133605957031
MIOSOS,0.8277532798848107,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",166.37102222442627
MIOSOS-Opt,0.8277532798848107,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",165.9273283481598
MIOSOS-Build,0.8277532798848107,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.3186001777648926
Preprocessing,1.3703509847201238,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.004686117172241211
MIOSOS,1.3703509847201238,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",2041.2218952178955
MIOSOS-Opt,1.3703509847201238,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",2040.7176949977875
MIOSOS-Build,1.3703509847201238,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.3074479103088379
