Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997408289319853,0.006009398132263278,0.00026819812288528857,0.00028744127559583894,0.0003187280503244239,1.0,4.0,0.0,0.0,5.330146074295044,3.6228946570556255,0.0,,
SSR,50,0.002,0.01,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.999740747099714,0.0060047079961339815,0.00019775305488885532,0.00023706538029211714,0.00031872805032548965,1.0,4,0,0,0.24764227867126465,,"(0.0, 1e-05)",,
SR3,50,0.002,0.01,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997408289319853,0.006009398132263278,0.00026819812288528857,0.00028744127559583894,0.0003187280503244239,1.0,4.0,0.0,0.0,233.81777215003967,9.752109233635803,,1.0,
E-STLSQ,50,0.002,0.01,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997407872971282,0.00600678096172545,0.00023950876126520727,0.0002630933494930493,0.00031975108133988075,1.0,4.0,0.0,0.0,10.969340801239014,6.5626828480611,0.0,,
MIOSR,50,0.002,0.01,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997408289319853,0.006009398132263278,0.00026819812288528857,0.00028744127559583894,0.0003187280503244239,1.0,4,0,0,57.74181652069092,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997409653579439,0.006020592378430496,0.0003654382267466558,0.00039380857208114244,0.000443139384522695,1.0,4.0,0.0,0.0,5.2378151416778564,5.943977156547793,0.0,,
SSR,50,0.002,0.014273992181725854,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997408573817358,0.00601288139477991,0.000261240383090881,0.00030401420482425106,0.0003845325014388834,1.0,4,0,0,0.23386454582214355,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.946179215963969,0.057163211162265345,0.3552570638869913,0.36867193872455933,0.4099112998719451,0.4444444444444444,4.0,5.0,0.0,224.82292556762695,7.245789314111251,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997409255777541,0.006017376347367508,0.00033109426724821427,0.00036867230478620014,0.00045840690185698917,1.0,4.0,0.0,0.0,10.481945753097534,6.5626828480611,0.0,,
MIOSR,50,0.002,0.014273992181725854,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997409653579439,0.006020592378430496,0.0003654382267466558,0.00039380857208114244,0.000443139384522695,1.0,4,0,0,59.30186581611633,,"(0, 0)",,"(2, 2)"
