Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999926549761471,0.020258159755730414,0.0005223894332994725,0.0005956934440687561,0.0005743513850767164,1.0,7.0,0.0,0.0,10.144826650619507,13.889457706038693,0.0,,
SSR,50,0.002,0.01,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999926551590089,0.020257826175945487,0.000523067817712498,0.0005956871334444102,0.0005743513850503826,1.0,7,0,0,0.736302375793457,,"(0.0, 1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9994909530691727,0.12928340520713583,0.041344033937542324,0.04412754982737219,0.03508771929824561,0.75,6.0,1.0,1.0,338.83852076530457,64.0,,1.0,
E-STLSQ,50,0.002,0.01,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.999992872029879,0.019675617548257626,0.00027982929529675005,0.0003020860515932639,0.0002608107979058878,1.0,7.0,0.0,0.0,17.86224341392517,15.553675862862878,0.0,,
MIOSR,50,0.002,0.01,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999926549761471,0.020258159755730414,0.0005223894332994725,0.0005956934440687561,0.0005743513850767164,1.0,7,0,0,90.29725098609924,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999476280925028,0.06399628318218062,0.013127474573379833,0.01598019119935821,0.016290610660834932,0.7,7.0,3.0,0.0,9.986780166625977,8.832716109390498,0.0,,
SSR,50,0.002,0.014273992181725854,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999429821547542,0.06770176038640727,0.010233490524487753,0.012716266962450729,0.013141762471764813,0.7777777777777778,7,2,0,0.7470853328704834,,"(0.0, 0.001, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9994572448369938,0.13772618023569203,0.03394226327288908,0.03945696636130742,0.03508771929824561,0.8571428571428571,6.0,0.0,1.0,339.3283019065857,43.068806164235404,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9998096004585217,0.11515818456791807,0.030388333533593905,0.03660835482098929,0.03750127268484626,0.6363636363636364,7.0,4.0,0.0,17.330138444900513,13.125365696122207,0.0,,
MIOSR,50,0.002,0.014273992181725854,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999925233934135,0.02056449211054962,0.0006780729697808297,0.0007626506687063287,0.0007211861658521482,1.0,7,0,0,91.20649433135986,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9966889229981657,0.4452846173989865,0.13745729878700502,0.10041928572803435,0.07510430861887173,0.21212121212121213,7.0,26.0,0.0,9.941813945770264,13.125365696122207,0.05,,
SSR,50,0.002,0.02037468528039708,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9994822362397391,0.1309117245826213,0.043911495309363086,0.04591108504055015,0.03508771929824561,0.75,6,1,1,0.7469937801361084,,"(0.0, 0.001, 0.0)",,
SR3,50,0.002,0.02037468528039708,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.999482623385559,0.13086519990886172,0.043790116491015746,0.045910714067019666,0.03508771929824561,0.75,6.0,1.0,1.0,340.5802335739136,45.57605292814511,,3.3333333333333335,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9962458519901393,0.48118318697852125,0.13998916435941675,0.10150015454511332,0.07538775555590262,0.21212121212121213,7.0,26.0,0.0,17.012450218200684,13.125365696122207,0.05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9999924016144398,0.02080648644632109,0.0008301132007781106,0.0009147421365101702,0.0008283831898350364,1.0,7,0,0,91.55911254882812,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.029082809839751277,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9942635661209097,0.6123442338357232,0.17860597372799472,0.13480027689245572,0.10874064705547937,0.21212121212121213,7.0,26.0,0.0,9.939212083816528,13.125365696122207,0.05,,
SSR,50,0.002,0.029082809839751277,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9993682882341857,0.15338198138782377,0.05321452819139929,0.053693603655600566,0.042009699862918304,0.75,6,1,1,0.7510161399841309,,"(0.0, 0.001, 1e-05)",,
