Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999689447387388,0.02727703349552093,0.0012565404706427613,0.001526892857761949,0.0017630000832302706,1.0,4.0,0.0,0.0,5.58148717880249,27.0040153838336,0.0,,
SSR,50,0.002,0.01,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999689463127076,0.027276956539753684,0.0012577902014879044,0.0015269617133626436,0.0017630000832231651,1.0,4,0,0,0.2614176273345947,,"(1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999689447387388,0.02727703349552093,0.0012565404706427613,0.001526892857761949,0.0017630000832302706,1.0,4.0,0.0,0.0,228.67738103866577,32.0,,0.03333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999687230086239,0.027382895773542935,0.0011047442143985314,0.0013603312225297193,0.0016739955000660463,1.0,4.0,0.0,0.0,9.412646770477295,29.396062530255215,0.0,,
MIOSR,50,0.002,0.01,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999689447387388,0.02727703349552093,0.0012565404706427613,0.001526892857761949,0.0017630000832302706,1.0,4,0,0,57.38827419281006,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999359659609635,0.036643984825894885,0.01873138623471611,0.017782114308840306,0.020322442292325455,0.6666666666666666,4.0,2.0,0.0,5.313904285430908,22.788026464072555,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999700254192312,0.02678293291574132,0.0020704412890179685,0.0025048066583887516,0.002921274873141163,1.0,4,0,0,0.24790191650390625,,"(1e-05, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9853264471519291,0.5983385570654159,0.1812223987160653,0.17777980748184877,0.18110438162427797,0.6666666666666666,4.0,2.0,0.0,205.26161527633667,14.907425106188498,,0.03333333333333333,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999517286794598,0.03213145953793146,0.015765740429940153,0.014817916328846903,0.016649126923606872,0.6666666666666666,4.0,2.0,0.0,8.734928846359253,27.0040153838336,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,46,"(0.5676647016115013, 0.8090022363163811)",0.9999700247396964,0.026782966547702673,0.0020691916684996148,0.002504747069748933,0.0029212748731159977,1.0,4,0,0,57.58477854728699,,"(0, 0)",,"(1, 3)"
